项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
非线性再生切削的多稳态、安全性和定向切换,11872147,7160723 ,航空航天学院,,2018-08-15,2018,2022-12-31,国家自然科学基金,面上项目,63,53,50.4,财务通过，立项完成,直接立项,进行中
Temporal dimension of complex networks: models and algorithms,11850410444,7190634 ,基础与前沿研究院,,2018-08-15,2018,2020-12-31,国家自然科学基金,国际(地区)合作与交流项目,40,43.39,40,财务通过，立项完成,直接立项,进行中
Some selected problems in variational inequalities and quasi-variational inequalities,11850410438,9190658 ,基础与前沿研究院,,2018-08-15,2018,2019-12-31,国家自然科学基金,国际(地区)合作与交流项目,20,20,20,财务通过，立项完成,直接立项,进行中
空间复杂环境下电子辐照电介质充电动态过程和微观机理研究,11805030,9180843 ,资源与环境学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,28,31.16,28,财务通过，立项完成,直接立项,进行中
激光诱导熔石英光学元件损伤的第一性原理研究,11804046,7090738 ,物理学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,25,26.35,25,财务通过，立项完成,直接立项,进行中
磁孤子与拓扑磁构型的动力学与新型磁器件,11804045,9181002 ,电子科学与工程学院（示范性微电子学院）,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,30,31.88,30,财务通过，立项完成,直接立项,进行中
基于光遗传学技术研究细胞骨架网络对肿瘤细胞群体迁移的调控作用与生物力学机制,11802056,7190654 ,生命科学与技术学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,30,31.98,30,财务通过，立项完成,直接立项,进行中
基底弹性形变对纳米气泡界面形貌和力学性质影响的研究,11802055,9190750 ,物理学院,,2018-08-15,2018,2021-12-31,国家自然科学基金,青年科学基金项目,26,27.55,26,财务通过，立项完成,直接立项,进行中
智能在线监测与反馈调节系统,2017YFB1103002,7060737 ,光电科学与工程学院,"中国科学院光电技术研究所,华北电力大学",2018-08-09,2018,2020-12-31,国家重点研发计划,课题,480,480,480,财务通过，立项完成,直接立项,进行中
XXX疲劳可靠性设计理论、方法与验证,2017-IV-0009-0046,7150676 ,机械与电气工程学院,,2018-08-01,2018,2023-07-31,国家科技重大专项,课题,330,126,126,财务通过，立项完成,直接立项,进行中
超宽带波长可调谐的全固态高功率高效中红外激光技术研究,2118Y11581A,7100719 ,光电科学与工程学院,,2018-08-01,2018,2021-07-31,类别2,子类1,150,135,135,财务通过，立项完成,直接立项,进行中
基于新型***探测器的理论探索,2118Y21441A,7171735 ,材料与能源学院,,2018-08-01,2018,2019-01-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
综合**技术--****特征控制**技术,62EP1850201,7080612 ,电子科学与工程学院（示范性微电子学院）,,2018-08-01,2018,2019-03-31,类别6,子类5,30,30,30,财务通过，立项完成,直接立项,进行中
片上****技术研究,2118H46041A,7120598 ,电子科学与工程学院（示范性微电子学院）,,2018-08-01,2018,2019-12-31,类别2,子类1,180,162,162,财务通过，立项完成,直接立项,进行中
******研究,2118H46112A,7190639 ,信息与通信工程学院,,2018-08-01,2018,2019-12-31,类别2,子类1,90,81,81,财务通过，立项完成,直接立项,进行中
基于纳米薄层二硫化钼的全印刷柔性薄膜晶体管实现技术研究,2018HH0152,7080635 ,材料与能源学院,,2018-07-27,2018,2020-06-30,四川省科技计划项目,国际合作,20,20,20,财务通过，立项完成,直接立项,进行中
基于电子系统的液晶电调宽带平面反射阵天线技术研究（重点）,2018JY0581,8220710 ,信息与通信工程学院,,2018-07-25,2018,2020-06-30,四川省科技计划项目,应用基础研究项目,10,10,10,财务通过，立项完成,直接立项,进行中
基于价值网络的“众创空间”生态系统商业模式研究,18YJA630035,5224173 ,经济与管理学院,,2018-07-24,2018,2021-12-31,教育部人文社会科学研究项目,一般项目,10,0,0,学校通过,直接立项,进行中
动态最优研发结构视角下基础研究对企业创新的影响机制研究,18XJC790020,9190669 ,公共管理学院,,2018-07-24,2018,2021-07-24,教育部人文社会科学研究项目,一般项目,8,0,0,学校通过,直接立项,进行中
我国西部少数民族地区教育公共服务供给与获得感提升研究,18YJCZH111,7160718 ,公共管理学院,,2018-07-24,2018,2021-07-24,教育部人文社会科学研究项目,一般项目,8,0,0,学校通过,直接立项,进行中
数据驱动型大气污染跨区域协同治理模式研究,18YJC630105,7172748 ,公共管理学院,,2018-07-24,2018,2021-07-24,教育部人文社会科学研究项目,一般项目,8,0,0,学校通过,直接立项,进行中
社会主要矛盾转化背景下的共享发展难题研究,18XJC710008,7190661 ,马克思主义学院,,2018-07-24,2018,2021-07-22,教育部人文社会科学研究项目,一般项目,8,0,0,学校通过,直接立项,进行中
朱熹基层自治伦理思想及其当代价值研究,18XJC720002,7150680 ,马克思主义学院,,2018-07-24,2018,2021-07-23,教育部人文社会科学研究项目,一般项目,8,0,0,学校通过,直接立项,进行中
流动性枯竭对股价崩盘风险的影响研究,18YJA790048,7090652 ,经济与管理学院,,2018-07-24,2018,2021-12-31,教育部人文社会科学研究项目,一般项目,10,0,0,学校通过,直接立项,进行中
多逆变器微电网系统建模及谐振机理问题研究,SKLD17KM01,7100834 ,机械与电气工程学院,,2018-07-23,2018,2019-12-31,实验室基金（校外）,实验室基金（国重类）,5,0,0,学校通过,直接立项,进行中
即时通信协议解析还原技术,C18605,5224052 ,计算机科学与工程学院（网络空间安全学院）,,2018-07-18,2018,2020-07-18,实验室基金（校外）,实验室基金（一般类）,5,4,4,财务通过，立项完成,直接立项,进行中
硅基XXX制备技术研究,18DK180301A,7150605 ,电子科学与工程学院（示范性微电子学院）,中国电子科技集团公司第四十四研究所,2018-07-16,2018,2019-12-31,类别1,子类8,240,210,210,财务通过，立项完成,直接立项,进行中
大规模生物淘选数据的获取、数据库的建立和分析,2018HH0154,5230916 ,生命科学与技术学院,,2018-07-13,2018,2020-12-31,四川省科技计划项目,国际合作,20,20,20,财务通过，立项完成,直接立项,进行中
宽波段光电成像芯片关键技术研究（重大前沿）,2018JY0547,5224783 ,电子科学与工程学院（示范性微电子学院）,,2018-07-12,2018,2021-12-31,四川省科技计划项目,应用基础研究项目,30,30,30,财务通过，立项完成,直接立项,进行中
安全可信私有云平台的研发与示范应用,2018KJFH003,7090648 ,计算机科学与工程学院（网络空间安全学院）,,2018-07-10,2018,2019-12-31,四川省产学研项目,市厅级项目,15,15,15,财务通过，立项完成,直接立项,进行中
基于分享经济与大数据的农产品产销服务平台,2018KJFH002,5225119 ,计算机科学与工程学院（网络空间安全学院）,,2018-07-10,2018,2019-12-31,四川省产学研项目,市厅级项目,5,2.5,2.5,财务通过，立项完成,直接立项,进行中
民主革命时期四川地下党的革命实践及其经验教训,SCWYM2018ZD01,7130641 ,马克思主义学院,,2018-07-09,2018,2019-10-09,其他社科类项目,其他社科类项目,0.8,.8,.8,财务通过，立项完成,直接立项,进行中
智能汽车安全加固与监控产品研发与产业化,2018GZDZX0009,5224738 ,计算机科学与工程学院（网络空间安全学院）,,2018-07-05,2018,2021-06-01,四川省科技计划项目,重大专项,105,105,105,财务通过，立项完成,直接立项,进行中
彝族舞蹈传承现状及对策研究,YZWH1820,7140629 ,体育部,成都体育学院,2018-07-03,2018,2020-07-03,四川省哲学社会科学重点研究基地项目,四川省哲学社会科学重点研究基地项目,0.4,.4,.4,财务通过，立项完成,直接立项,进行中
舞蹈训练与音乐训练对脑白质结构影响的TBSS比较研究,CSXL-182002,7090767 ,党委学生工作部（学生工作处、武装部）,,2018-07-03,2018,2020-07-08,四川省哲学社会科学重点研究基地项目,四川省哲学社会科学重点研究基地项目,0.4,.2,.2,财务通过，立项完成,直接立项,进行中
融合移动警务应用支撑技术研究和示范,2018YFC0807106,5230594 ,通信抗干扰技术国家级重点实验室,,2018-07-01,2018,2020-12-31,国家重点研发计划,参与课题,30,30,30,财务通过，立项完成,直接立项,进行中
先进移动警务的融合网络研究,2018YFC0807101,5224125 ,通信抗干扰技术国家级重点实验室,"公安部第一研究所,成都鼎桥通信技术有限公司,哈尔滨工业大学,东方通信股份有限公司,北京久华信信息技术有限公司,普天信息技术有限公司",2018-07-01,2018,2020-12-31,国家重点研发计划,课题,3221,711,711,财务通过，立项完成,直接立项,进行中
高压低损耗功率半导体器件基础理论与新机构研究（重点）,2018JY0555,5224994 ,电子科学与工程学院（示范性微电子学院）,,2018-07-01,2018,2021-06-30,四川省科技计划项目,应用基础研究项目,15,15,15,财务通过，立项完成,直接立项,进行中
网络药理学/药效学并行的血小板活化抑制剂筛选及SLE通路干预研究,2018JY0659,7070674 ,信息与软件工程学院（示范性软件学院）,,2018-07-01,2018,2020-06-30,四川省科技计划项目,应用基础研究项目,5,5,5,财务通过，立项完成,直接立项,进行中
手机玻璃盖板缺陷及三维面形光学智能检测方法研究,2018JY0579,7090658 ,光电科学与工程学院,,2018-07-01,2018,2020-06-30,四川省科技计划项目,应用基础研究项目,10,10,10,财务通过，立项完成,直接立项,进行中
"""互联网+""煤炭安全监管监察关键技术研发与示范",2018YFC0808304,5224614 ,计算机科学与工程学院（网络空间安全学院）,,2018-07-01,2018,2021-06-30,国家重点研发计划,参与课题,30,30,30,财务通过，立项完成,直接立项,进行中
井间电磁波成像仪研制及应用示范,2018YFC0603303,5225243 ,信息地学研究中心,,2018-07-01,2018,2021-06-30,国家重点研发计划,参与课题,165.6,165.6,165.6,财务通过，立项完成,直接立项,进行中
×××××成像技术,2118H28262A,5231032 ,电子科学与工程学院（示范性微电子学院）,,2018-07-01,2018,2020-12-31,类别2,子类1,180,162,162,财务通过，立项完成,直接立项,进行中
太赫兹XXX源,2118H24022A,7090623 ,电子科学与工程学院（示范性微电子学院）,,2018-07-01,2018,2020-12-31,类别2,子类1,380,340,340,财务通过，立项完成,直接立项,进行中
基于频控阵的探干通一体化关键技术研究,2018RZ0141,7090818 ,信息与通信工程学院,,2018-07-01,2018,2020-06-30,四川省科技计划项目,创新人才,20,20,20,财务通过，立项完成,直接立项,进行中
基于治安防控场所多信息融合的警情事件智能监测识,2018YFC0807503,7160663 ,计算机科学与工程学院（网络空间安全学院）,,2018-07-01,2018,2021-06-30,国家重点研发计划,参与课题,78,78,78,财务通过，立项完成,直接立项,进行中
小型放大器,2118H24033A,5230747 ,电子科学与工程学院（示范性微电子学院）,中国科学院电子学研究所,2018-07-01,2018,2020-12-31,类别2,子类1,540,486,486,财务通过，立项完成,直接立项,进行中
儿童口腔云矫治关键技术研究,2018FZ0099,7150653 ,计算机科学与工程学院（网络空间安全学院）,四川大学,2018-07-01,2018,2020-06-30,四川省科技计划项目,重点研发计划,20,20,20,财务通过，立项完成,直接立项,进行中
基于迁移学习的视网膜病变筛查技术研究（重点）,2018JY0605,5230933 ,信息与软件工程学院（示范性软件学院）,,2018-07-01,2018,2020-06-30,四川省科技计划项目,应用基础研究项目,10,10,10,财务通过，立项完成,直接立项,进行中
xxx研究,2118H22151A,7090841 ,电子科学与工程学院（示范性微电子学院）,,2018-07-01,2018,2019-06-30,类别2,子类1,180,160,160,财务通过，立项完成,直接立项,进行中
XXX研究,2118H22431A,7110741 ,电子科学与工程学院（示范性微电子学院）,,2018-07-01,2018,2019-06-30,类别2,子类1,60,54,54,财务通过，立项完成,直接立项,进行中
